#,Year,Sport,Name of Athlete,Event,Country Represented,What She Would Have Won,Links
175,2022,Cycling,Heidi Wood,"Cross Crusade, Cyclocross, Rainier High School, Category 1/2 Women, Rainier, OR, 9 Oct",USA,Second Place,
176,2022,Cycling,Rachel Geiter,"Cross Crusade, Cyclocross, Rainier High School, Category 1/2 Women, Rainier, OR, 9 Oct",USA,Third Place,
177,2022,Cycling,Rachel Geiter,"Cross Crusade, Cyclocross, Heron Lakes, Category 1/2 Women, Portland, OR, 16 Oct",USA,First Place,
178,2022,Cycling,Sophie Russenberger,"Cross Crusade, Cyclocross, Heron Lakes, Category 1/2 Women, Portland, OR, 16 Oct",USA,Second Place,
179,2022,Cycling,Allison Halpin,"Cross Crusade, Cyclocross, Heron Lakes, Category 1/2 Women, Portland, OR, 16 Oct",USA,Third Place,
180,2022,Cycling,Hannah Arensman,"Kings CX, Cyclocross, Day 1, Women Open Pro, Mason, OH, 22 Oct",USA,Third Place,
181,2022,Cycling,Emily Werner,"Kings CX, Cyclocross, Day 2, Women Open Pro, Mason, OH, 23 Oct",USA,Third Place,
182,2022,Cycling,Christina Hosenfeld,"Pan American Cyclocross Championships, Women 40-44, Falmouth, MA, 4 Nov",USA,First Place,
183,2022,Cycling,Erin Gordon,"Pan American Cyclocross Championships, Women 40-44, Falmouth, MA, 4 Nov",USA,Second Place,
184,2022,Cycling,Dana Prey,"Pan American Cyclocross Championships, Women 40-44, Falmouth, MA, 4 Nov",USA,Third Place,
185,2022,Cycling,Paula Gilecheverria,"Cross Crusade, Barton Park, Category 1/2 Women, Boring, OR, 20 Nov",USA,First Place,
186,2022,Cycling,Hannah Allen,"Cross Crusade, Barton Park, Category 1/2 Women, Boring, OR, 20 Nov",USA,Second Place,
187,2022,Cycling,Rachel Serlsev,"Cross Crusade, Barton Park, Category 1/2 Women, Boring, OR, 20 Nov",USA,Third Place,
188,2022,Cycling,Heidi Wood,"CXR #6 SeaTac, Cyclocross, Category 1/2 Women, SeaTac, WA, 27 Nov",USA,First Place,
189,2022,Cycling,Brenna Wrye-Simpson,"CXR #6 SeaTac, Cyclocross, Category 1/2 Women, SeaTac, WA, 27 Nov",USA,Second Place,
190,2022,Cycling,Rebecca Book,"CXR #6 SeaTac, Cyclocross, Category 1/2 Women, SeaTac, WA, 27 Nov",USA,Third Place,
191,2022,Cycling,Erin Feldhausen,"USA Cycling Cyclocross National Championships, Day 3, Women Master 40-44 Category 1/2/3, Hartford, CF, 8 Dec",USA,First Place,
192,2022,Cycling,Holly Lavesser,"USA Cycling Cyclocross National Championships, Day 3, Women Master 40-44 Category 1/2/3, Hartford, CF, 8 Dec",USA,Second Place,
193,2022,Cycling,Anja Meichsner,"USA Cycling Cyclocross National Championships, Day 3, Women Master 40-44 Category 1/2/3, Hartford, CF, 8 Dec",USA,Third Place,
194,2022,Cycling,Katy Brown,"Auburn Flyers Cycling Weekend, Women Pro 1-3, Auburn, AL, 26 Feb",USA,First Place,
195,2022,Cycling,Sophie Zents,"Auburn Flyers Cycling Weekend, Women Pro 1-3, Auburn, AL, 26 Feb",USA,Second Place,
196,2022,Cycling,Ruth Allen,"Birmingham Hammerfest, Women's Category 3-4-5, Birmingham, AL, 12 March",USA,First Place,
197,2022,Cycling,Sophie Zents,"Birmingham Hammerfest, Women's Category 3-4-5, Birmingham, AL, 12 March",USA,Second Place,
198,2022,Cycling,Johanna Gref,"Birmingham Hammerfest, Women's Category 3-4-5, Birmingham, AL, 12 March",USA,Third Place,
199,2022,Cycling,Ruth Allen,"Sunny King Criterium, Cycling Race, Women Senior Cat 3-45, Anniston, AL, 9 April",USA,First Place,
200,2022,Cycling,Sophie Zents,"Sunny King Criterium, Cycling Race, Women Senior Cat 3-45, Anniston, AL, 9 April",USA,Second Place,
201,2022,Cycling,Dagny Palmer,"Sunny King Criterium, Cycling Race, Women Senior Cat 3-45, Anniston, AL, 9 April",USA,Third Place,
202,2022,Cycling,Carlie Cooper,"Brooks Road Race, GA State Championship Road Race, Women Pro 1-2, Brooks, GA, 21 May",USA,First Place,
203,2022,Cycling,Renate Walton,"UCI Masters World Championships, Cycling, TT Women Masters 70-74, Carson, CA 24 Sept-1 Oct",Canada,First Place,
204,2022,Cycling,Louise Hose,"UCI Masters World Championships, Cycling, TT Women Masters 70-74, Carson, CA 24 Sept-1 Oct",USA,Second Place,
205,2022,Cycling,Ariel Levin,"UCI Masters World Championships, Cycling, TT Women Masters 70-74, Carson, CA 24 Sept-1 Oct",USA,Third Place,
206,2022,Cycling,Sharazan Martinez,"Activa Mexico DMX Cycling Series Fecha 1/Pro 1, Womens, Mexico, 23 April",Mexico,First Place,[1]
207,2022,Cycling,Grecia Reynoso,"Activa Mexico DMX Cycling Series Fecha 1/Pro 1, Womens, Mexico, 23 April",Mexico,Second Place,[1]
208,2022,Cycling,Ximena Calzada,"Activa Mexico DMX Cycling Series Fecha 1/Pro 1, Womens, Mexico, 23 April",Mexico,Third Place,[1]
209,2022,Darts,Wendy Harper,"World Darts Federation, Shot New Zealand Open Women, July, New Zealand",New Zealand,First Place,
210,2022,Darts,Shar Maru-Habib,"World Darts Federation, Shot New Zealand Open Women, July, New Zealand",New Zealand,Second Place (Semi-Finalist),
211,2022,Darts,Nicole Regnaud,"World Darts Federation, Shot New Zealand Open Women, July, New Zealand",New Zealand,Third Place (Semi-Finalist),
212,2022,Darts,Wendy Harper,"New Zealand Open Masters Darts Tournament, Women, Montueka, NZ, 24 July",New Zealand,Gold Medal,
213,2022,Disc Golf,Ohn Scoggins,"Discraft Great Lakes Open, Disc Golf, Women's Division, 29-31 July, Milford, Michigan",USA,First Place (tied),
214,2022,Disc Golf,Emily Beach,"Discraft Great Lakes Open, Disc Golf, Women's Division, 29-31 July, Milford, Michigan",USA,First Place (tied),
215,2022,Disc Golf,Paige Pierce,"Discraft Great Lakes Open, Disc Golf, Women's Division, 29-31 July, Milford, Michigan",USA,Second Place (tied),
216,2022,Disc Golf,Valerie Mandujano,"Discraft Great Lakes Open, Disc Golf, Women's Division, 29-31 July, Milford, Michigan",USA,Second Place (tied),
217,2022,Disc Golf,Kristin Tattar,"Disc Golf Pro Tour, MVP Open at Maple Hill, 22-25 September, Leicester, Massachusetts",Estonia,First Place,
218,2022,Disc Golf,Paige Pierce,"Disc Golf Pro Tour, MVP Open at Maple Hill, 22-25 September, Leicester, Massachusetts",USA,Second Place,
219,2022,Disc Golf,Holyn Handley,"Disc Golf Pro Tour, MVP Open at Maple Hill, 22-25 September, Leicester, Massachusetts",USA,Third Place (tied),
220,2022,Disc Golf,Deann Carey,"Disc Golf Pro Tour, MVP Open at Maple Hill, 22-25 September, Leicester, Massachusetts",USA,Third Place (tied),
221,2022,Disc Golf,Des Reading,"Professional Disc Golf World Championships, Women's 50+ Division, Peoria, Illinois, 12-16 July",USA,First Place,
222,2022,Disc Golf,Tamara Coburn,"Professional Disc Golf World Championships, Women's 50+ Division, Peoria, Illinois, 12-16 July",USA,Second Place,
223,2022,Disc Golf,Katelyn Belty,"3rd Annual Emporia Ladies Open, FPO Open Women",USA,First Place (tied),[1]
224,2022,Disc Golf,,"3rd Annual Emporia Ladies Open, FPO Open Women",USA,First Place (tied),[1]
225,2022,Disc Golf,,"3rd Annual Emporia Ladies Open, FPO Open Women",USA,Second Place,[1]
226,2022,Disc Golf,,"3rd Annual Emporia Ladies Open, FPO Open Women",USA,Third Place,
227,2022,Disc Golf,Ohn Scoggins and Emily Beach,"Discraft's Great Lakes Open, Disc Golf, Women's Division, Milford, Michigan, 29-31 July",USA,First Place (Tied),
228,2022,Disc Golf,Paige Pierce and Valerie Mandujano,"Discraft's Great Lakes Open, Disc Golf, Women's Division, Milford, Michigan, 29-31 July",USA,Second Place (Tied),
229,2022,Disc Golf,Kristin Tattar,"MVP Open at Maple Hill, Disc Golf, Women's Division, Leicester, Massachusetts, 22-25 September",Estonia,First Place,
230,2022,Disc Golf,Paige Pierce,"MVP Open at Maple Hill, Disc Golf, Women's Division, Leicester, Massachusetts, 22-25 September",USA,Second Place,
231,2022,Disc Golf,Holyn Handley and Deann Carey,"MVP Open at Maple Hill, Disc Golf, Women's Division, Leicester, Massachusetts, 22-25 September",USA,Third Place (Tied),
232,2022,Disc Golf,Kimberly Giannola,"11th Annual Iowa Masters Championships by Vicious Circle Disc Golf, FP 40 Pro Masters Women 40+, Newton, Iowa, 5 June 2022",USA,First Place,
233,2022,Disc Golf,Kerri French,"11th Annual Iowa Masters Championships by Vicious Circle Disc Golf, FP 40 Pro Masters Women 40+, Newton, Iowa, 5 June 2022",USA,Second Place,
234,2022,Disc Golf,Katelyn Belty,"39th Annual Kansas City Wide Open, FPO Open Women",USA,First Place,[1]
235,2022,Disc Golf,Ali Smith,"39th Annual Kansas City Wide Open, FPO Open Women",USA,Second Place,[1]
236,2022,Disc Golf,Kaylee Kincaid,"39th Annual Kansas City Wide Open, FPO Open Women",USA,Third Place,[1]
237,2022,Disc Golf,Kimberly Giannola,2022 Frostbreaker SMP,USA,First Place,[1]
238,2022,Disc Golf,"Lorena Dostal, USA","2022 PDGA Professional Masters Disc Golf World Championships, FP50 · Pro Masters Women 50+",USA,Second Place,[1]
239,2022,Disc Golf,Tamara Coburn,"WGE Revenge on Reds, FP50 Pro Masters Women 50+, Leicester, MA, 7 August",USA,First Place,[1]
240,2022,Disc Golf,Kimberly Giannola,"Maverick DG: Centennial Chain Crash 2022 pres by GRIPeq, FPO Open Women, Lawrence, KS, 26 November",USA,First Place,[1]
241,2022,Disc Golf,Kimberly Giannola,"2022 Handeye Classic, FPO Open Women, Emporia, KS, 15 October",USA,First Place,[1]
242,2022,Disc Golf,Des Reading,"2022 PDGA Masters Disc Golf World Championships, FP50 Pro Masters Women 50+, Peoria, IL, 12-16 July",USA,First Place,[1]
243,2022,Disc Golf,Tamara Coburn,"2022 PDGA Masters Disc Golf World Championships, FP50 Pro Masters Women 50+, Peoria, IL, 12-16 July",USA,Second Place,[1]
244,2022,Disc Golf,Millicent Cowgill,"Missouri Eagle & Elephant & Castle Fine Arms 12th Annual Jared Hilton Memorial - Driven by Innova, FPO Open Women, Lebanon, MO, 11 June",USA,First Place,[1]
245,2022,Disc Golf,Brandy Monnahan,"Missouri Eagle & Elephant & Castle Fine Arms 12th Annual Jared Hilton Memorial - Driven by Innova, FPO Open Women, Lebanon, MO, 11 June",USA,Second Place,[1]
246,2022,Disc Golf,Fresa Jacobs,"Missouri Eagle & Elephant & Castle Fine Arms 12th Annual Jared Hilton Memorial - Driven by Innova, FPO Open Women, Lebanon, MO, 11 June",USA,Third Place,[1]
247,2022,Disc Golf,Kimerly Giannola,"11th Annual Iowa Masters Championships by Vicious Circle Disc Golf, FP40 Pro Masters Momen 40+, Newton, IA, 5 June",USA,First Place,[1]
248,2022,Disc Golf,Kerri French,"11th Annual Iowa Masters Championships by Vicious Circle Disc Golf, FP40 Pro Masters Momen 40+, Newton, IA, 5 June",USA,Second Place,[1]
249,2022,Disc Golf,Shelbi Dutton,"Off the Chain, FPO Open Women, Des Moines, IA, 4 June",USA,First Place,[1]
250,2022,Disc Golf,Kimberly Giannola,"Off the Chain, FPO Open Women, Des Moines, IA, 4 June",USA,Second Place,[1]
251,2022,Disc Golf,Kimberly Giannola,"Maverick DG: McLouth Disc Golf Tournament sponsored by Innova,",USA,First Place,[1]
252,2022,Disc Golf,Deann Carey,"11th Annual Chain Hawk Open Presented by Dynamic Discs, FPO Open Women, Gainesville, FL, 2-4 December",USA,First Place,[1]
253,2022,Disc Golf,Ellen Widboom,"11th Annual Chain Hawk Open Presented by Dynamic Discs, FPO Open Women, Gainesville, FL, 2-4 December",USA,Second Place,[1]
254,2022,Disc Golf,Morgan Lynds,"11th Annual Chain Hawk Open Presented by Dynamic Discs, FPO Open Women, Gainesville, FL, 2-4 December",USA,Third Place,[1]
255,2022,Disc Golf,Leah Tsinajinnie,"OTB ROAD SHOW - Monday Flex @ Perkerson Park, FPO Open Women, Atlanta, GA, 18 April",USA,Second Place,[1]
256,2022,Disc Golf,Madison Walker,"19th Annual Fairhope Jubilee - Event 2, FPO Open Women, Fairhope, AL, 9 January",USA,Second Place,[1]
257,2022,Disc Golf,Emelia Marshall,"19th Annual Fairhope Jubilee - Event 2, FPO Open Women, Fairhope, AL, 9 January",USA,Third Place,[1]
258,2022,eSports,Georgia Peplow,"Commonwealth eSports Championships, eFootball Womens, Birmingham, England, 7 August",Wales,Gold Medal,[1]
259,2022,eSports,Alia Harvey,"Commonwealth eSports Championships, eFootball Womens, Birmingham, England, 7 August",England,Silver Medal,[1]
260,2022,Mountain Biking,Eliana Hulseboch,"Phoenix Enduro Mountain Bike, Open Women's Division, Christchurch, New Zealand, 29 October",New Zealand,First Place,
261,2022,Mountain Biking,Jenna Hastings,"Phoenix Enduro Mountain Bike, Open Women's Division, Christchurch, New Zealand, 29 October",New Zealand,Second Place,
262,2022,Mountain Biking,G. Swift,"Phoenix Enduro Mountain Bike, Open Women's Division, Christchurch, New Zealand, 29 October",New Zealand,Third Place,
263,2022,Pool (English),Rachel Tucker,IPA Ladies Tour Tournament Grand Final,UK,First Place,[1]
264,2022,Powerlifting,Aileen Bishop,"Western Canadian Powerlifting and Bench Press Championships, Women Classic 185+ Open, Calgary, Alberta, Canada, 23 September",Canada,First Place,[1]
265,2022,Powerlifting,Ramanjot Ghuman,"Western Canadian Powerlifting and Bench Press Championships, Women Classic 185+ Open, Calgary, Alberta, Canada, 23 September",Canada,Second Place,[1]
266,2022,Powerlifting,Linda Khounkong,"Western Canadian Powerlifting and Bench Press Championships, Women Classic 185+ Open, Calgary, Alberta, Canada, 23 September",Canada,Third Place,[1]
267,2022,Powerlifting,Sousanh Chantalangsy,"APU Provincial Powerlifting and Bench Press Championships, Women Classic 185+ Open, Slave Lake, Alberta, Canada, 8 July",Canada,First Place,
268,2022,Powerlifting,Maura Howden,"APU Provincial Powerlifting and Bench Press Championships, Women Classic 185+ Open, Slave Lake, Alberta, Canada, 8 July",Canada,Second Place,
269,2022,Powerlifting,Emma Schempp,"APU Provincial Powerlifting and Bench Press Championships, Women Classic 185+ Open, Slave Lake, Alberta, Canada, 8 July",Canada,Third Place,
270,2022,Powerlifting,Angelina Van Ryswyk,"PowerSurge XI Powerlifting, Women Classic 185+ Open, Edmonton, Alberta, Canada, 3 April",Canada,First Place,
271,2022,Powerlifting,Zoe Good,"PowerSurge XI Powerlifting, Women Classic 185+ Open, Edmonton, Alberta, Canada, 3 April",Canada,Second Place,
272,2022,Powerlifting,Celeste Vonidler,"PowerSurge XI Powerlifting, Women Classic 185+ Open, Edmonton, Alberta, Canada, 3 April",Canada,Third Place,
273,2022,Rowing,Susan Kemp,"World Indoor Rowing Championships, W 70 2000 m, Hamburg, Germany, 25-26 February",Australia,Second Place,
274,2022,Skateboarding,Sarah Heng,"Yarra Ranges Downhill Festival, Women's Skateboard, Mt. DonnaBuang, Victoria, Australia, 18-19 March",Australia,First Place,
275,2022,Skateboarding,Jasmine Ngaparu,"Yarra Ranges Downhill Festival, Women's Skateboard, Mt. DonnaBuang, Victoria, Australia, 18-19 March",Australia,Second Place,
276,2022,Skateboarding,Shiloh Catori,"The Boardr Open at New York City, Presented by DC, Women's Final, 25 June",USA,First Place,
277,2022,Skateboarding,Jordan Pascale,"The Boardr Open at New York City, Presented by DC, Women's Final, 25 June",USA,Second Place,
278,2022,Skateboarding,Chrissy Brown,"The Boardr Open at New York City, Presented by DC, Women's Final, 25 June",USA,Third Place,
279,2022,Skateboarding,Unknown,"Slurpee Canada Skateboard Open, Digital (Instagram) Contest, Women's Park, Best Trick Swatch to the Moon Award",Unknown,"Best Trick, Swatch to the Moon Award",
280,2022,Snooker and Billiards,Jasmine Bolsover,"English Partnership for Snooker and Billiards, 2021/2022, Women's Tour, Event Five, 29 January",England,First Place,"[1],[2]"
281,2022,Snooker and Billiards,Chrissy Allwood,"English Partnership for Snooker and Billiards, 2021/2022, Women's Tour, Event Five, 29 January",England,Second Place (Semi-Finalist),
282,2022,Snooker and Billiards,Chloe White,"English Partnership for Snooker and Billiards, 2021/2022, Women's Tour, Event Five, 29 January",England,Third Place (Semi-Finalist),
283,2022,Snooker and Billiards,Anna Lynch,"World Billiards, 2022 Women's European Open, Leeds, England, 28 May",Australia,First Place,
284,2022,Snooker and Billiards,Annette Newman,"World Billiards, 2022 Women's European Open, Leeds, England, 28 May",Ireland,Second Place (Semi-Finalist),
285,2022,Snooker and Billiards,Rochy Woods,"World Billiards, 2022 Women's European Open, Leeds, England, 28 May",England,Third Place (Semi-Finalist),
286,2022,Snooker and Billiards,Snenthra Babu,"World Billiards, Women's 2022 World Championship, Newbridge, Ireland, 20 August",India,First Place,
287,2022,Snooker and Billiards,Margaret O'Driscoll,"World Billiards, Women's 2022 World Championship, Newbridge, Ireland, 20 August",Ireland,Second Place (Semi-Finalist),
288,2022,Snooker and Billiards,Stephanie Foley,"World Billiards, Women's 2022 World Championship, Newbridge, Ireland, 20 August",Ireland,Third Place (Semi-Finalist),
289,2022,Surfing,Emily Gibbs,"West Coast Suspensions Longboard & Logger State Championships, Open Women's Logger, Avalon Bay, Mandurah, Australia, 15 May",Australia,First Place,[1]
290,2022,Surfing,Georgia Young,"West Coast Suspensions Longboard & Logger State Championships, Open Women's Logger, Avalon Bay, Mandurah, Australia, 15 May",Australia,Second Place,[1]
291,2022,Surfing,Shae Sheridan,"West Coast Suspensions Longboard & Logger State Championships, Open Women's Logger, Avalon Bay, Mandurah, Australia, 15 May",Australia,Third Place,
292,2022,Surfing,Georgia Young,"West Coast Suspensions Longboard & Logger State Championships, Women's Open, Avalon Bay, Mandurah, Australia, 15 May",Australia,First Place,[1]
293,2022,Surfing,Samantha Vanderford,"West Coast Suspensions Longboard & Logger State Championships, Women's Open, Avalon Bay, Mandurah, Australia, 15 May",Australia,Second Place,[1]
294,2022,Swimming,Felicia Pasadyn,"Harvard Women versus UPenn, NCAA Women's Collegiate Swimming event, Women 200 Yard Freestyle, 22 January, Blodgett Pool, Boston, MA",USA,First Place,
295,2022,Swimming,Samantha Shelton,"Harvard Women versus UPenn, NCAA Women's Collegiate Swimming event, Women 200 Yard Freestyle, 22 January, Blodgett Pool, Boston, MA",USA,Second Place,
296,2022,Swimming,Erin Cavanagh,"Harvard Women versus UPenn, NCAA Women's Collegiate Swimming event, Women 200 Yard Freestyle, 22 January, Blodgett Pool, Boston, MA",USA,Third Place,
297,2022,Swimming,Samantha Shelton,"Harvard Women versus UPenn, NCAA Women's Collegiate Swimming event, Women 100 Yard Freestyle, 22 January, Blodgett Pool, Boston, MA",USA,First Place,
298,2022,Swimming,Molly Hamlin,"Harvard Women versus UPenn, NCAA Women's Collegiate Swimming event, Women 100 Yard Freestyle, 22 January, Blodgett Pool, Boston, MA",USA,Second Place,
299,2022,Swimming,Margot Kaczorowski,"Harvard Women versus UPenn, NCAA Women's Collegiate Swimming event, Women 100 Yard Freestyle, 22 January, Blodgett Pool, Boston, MA",USA,Third Place,
300,2022,Swimming,Catherine Buroker,"Women's Ivy League Swimming and Diving Championships, Women's 500 Yard Freestyle, Blodgett Pool, Harvard University, Boston, MA, 16-19 February",USA,First Place,
301,2022,Swimming,Ellie Marquardt,"Women's Ivy League Swimming and Diving Championships, Women's 500 Yard Freestyle, Blodgett Pool, Harvard University, Boston, MA, 16-19 February",USA,Second Place,
302,2022,Swimming,Anna Kalandadze,"Women's Ivy League Swimming and Diving Championships, Women's 500 Yard Freestyle, Blodgett Pool, Harvard University, Boston, MA, 16-19 February",USA,Third Place,
303,2022,Swimming,Samantha Shelton,"Women's Ivy League Swimming and Diving Championships, Women's 200 Yard Freestyle, Blodgett Pool, Harvard University, Boston, MA, 16-19 February",USA,First Place,
304,2022,Swimming,Molly Hamlin,"Women's Ivy League Swimming and Diving Championships, Women's 200 Yard Freestyle, Blodgett Pool, Harvard University, Boston, MA, 16-19 February",USA,Second Place,
305,2022,Swimming,Ashley Post,"Women's Ivy League Swimming and Diving Championships, Women's 200 Yard Freestyle, Blodgett Pool, Harvard University, Boston, MA, 16-19 February",USA,Third Place,
306,2022,Swimming,Iszac Henig,"Women's Ivy League Swimming and Diving Championships, Women's 100 Yard Freestyle, Blodgett Pool, Harvard University, Boston, MA, 16-19 February",USA,First Place,
307,2022,Swimming,Nikki Venema,"Women's Ivy League Swimming and Diving Championships, Women's 100 Yard Freestyle, Blodgett Pool, Harvard University, Boston, MA, 16-19 February",USA,Second Place,
308,2022,Swimming,Molly Hamlin,"Women's Ivy League Swimming and Diving Championships, Women's 100 Yard Freestyle, Blodgett Pool, Harvard University, Boston, MA, 16-19 February",USA,Third Place,
309,2022,Swimming,Emma Weyant,"NCAA Championships, Women's Swimming, 500 meter freestyle, McAuley Aquatic Center, Atlanta, Georgia",USA,First Place,
310,2022,Swimming,Erica Sullivan,"NCAA Championships, Women's Swimming, 500 meter freestyle, McAuley Aquatic Center, Atlanta, Georgia",USA,Second Place,
311,2022,Swimming,Brooke Forde,"NCAA Championships, Women's Swimming, 500 meter freestyle, McAuley Aquatic Center, Atlanta, Georgia",USA,Third Place,
312,2022,Swimming,Reka Gyorgy,"NCAA Championships, Women's Swimming, 500 meter freestyle, McAuley Aquatic Center, Atlanta, Georgia",USA,Would have been included in the 500 meter finals,[1]
313,2022,Track and Field,Heather Pady,"Ontario Masters Indoor Championships, Toronto Track and Field Center, Women's 45-49, 3000 Run Masters, Toronto, Canada, 19 February",Canada,First Place,
314,2022,Track and Field,Heather Pady,"Ontario Masters Athletics Championships, Toronto Track and Field Center, Women's 45-49 1500 meters Masters, Toronto, Canada, 6-7 August",Canada,First Place,
315,2022,Track and Field,Paula Jones,"Canadian Record Holder, Women's 45-49 Indoor 5000 meter Masters level Run",Canada,National Record Holder,
316,2022,Track and Field,Jessica Shaw,"Athletics Ontario, Winter Mini Meet #5, Toronto Track and Field Center, Women's 20+ 1500 meters Open, Toronto, Canada, 20 March",Canada,First Place,
317,2022,Track and Field,Robecca Wheeler,"Athletics Ontario, Winter Mini Meet #5, Toronto Track and Field Center, Women's 20+ 1500 meters Open, Toronto, Canada, 20 March",Canada,Second Place,
318,2022,Track and Field,Makie Ohler,"Athletics Ontario, Winter Mini Meet #5, Toronto Track and Field Center, Women's 20+ 1500 meters Open, Toronto, Canada, 20 March",Canada,Third Place,
319,2022,Track and Field,Sandra Guga,"Ontario U20+ Open Championships, Women's 5000 meter Run Open, Toronto Track and Field Center, Toronto, Canada, 10-12 June",Canada,Third Place,
320,2022,Track and Field,Maria Sandor,"Ontario U18+ Open Championships, Toronto Track and Field Center, Women's 1500 meter Open, Toronto, Canada, 5-6 March",Canada,Third Place,
321,2022,Track and Field,Skype Stapor,"Phoenix Spring Meet, Toronto Track and Field Center, Women's 1500 meter Open, Toronto, Canada, 15 May",Canada,First Place,
322,2022,Track and Field,Eliana Marcela Zuniga,"Campionati italiani master FIDAL indoor, Women's F45 60 meters, Ancona, Italy, 10 February",Italy,Third Place,[1]
323,2022,Track and Field,Silke Breckenfelder,"Campionati italiani master FIDAL indoor, Women's F45 200 meters, Ancona, Italy, 10 February",Italy,First Place/National Title,[1]
324,2022,Track and Field,Eliana Marcela Zuniga,"Campionati italiani master FIDAL indoor, Women's F45 200 meters, Ancona, Italy, 10 February",Italy,Second Place,[1]
325,2022,Track and Field,Marta Manfrin,"Campionati italiani master FIDAL indoor, Women's F45 200 meters, Ancona, Italy, 10 February",Italy,Third Place,[1]
326,2022,Track and Field,Marta Manfrin,"Campionati master indoor interregionale, Women's F45 200 meters, Padova, Italy, 5 March",Italy,First Place,[1]
327,2022,Track and Field,Emanuela Di Padova,"Campionati master indoor interregionale, Women's F45 200 meters, Padova, Italy, 5 March",Italy,Second Place,[1]
328,2022,Track and Field,Grace Tong Ling Shum,"Campionati master indoor interregionale, Women's F45 200 meters, Padova, Italy, 5 March",Italy,Third Place,[1]
329,2022,Track and Field,Giorgia Fascetta,"Campionati italiani paralimpici FISPES indoor, Womens T13 60 meters, Ancona, Italy, 12 March",Italy,First Place/National Title,[1]
330,2022,Track and Field,Margherita Paciolla,"Campionati italiani paralimpici FISPES indoor, Womens T13 60 meters, Ancona, Italy, 12 March",Italy,Second Place,[1]
331,2022,Track and Field,Maria Montano Quinonez,"Campionati italiani master FIDAL outdoor, Womens F45 200 meters, Grosseto, Italy, 10 June",Italy,First Place/National Title,[1]
332,2022,Track and Field,Marta Manfrin,"Campionati italiani master FIDAL outdoor, Womens F45 200 meters, Grosseto, Italy, 10 June",Italy,Second Place,[1]
333,2022,Track and Field,Silke Breckenfelder,"Campionati italiani master FIDAL outdoor, Womens F45 200 meters, Grosseto, Italy, 10 June",Italy,Third Place,[1]
334,2022,Track and Field,Caterina Benincasa,"19° Memorial Giacomo ed Eva Carbonchi, Women's 200 meters, Sasso Marconi, Italy, 14 June",Italy,Third Place,[1]
335,2022,Track and Field,Caterina Manera,"Meeting Assoluto Meeting regionale su pista E-R, Womens 200 meters, Parma, Italy, 5 July",Italy,Third Place,[1]
336,2022,Track and Field,Agnese Sportono,"Campionati italiani paralimpici FISPES outdoor, Womens T13-20 100 meteres, Padova, Italy, 9 July",Italy,First Place,[1]
337,2022,Track and Field,Aurora Fiorin,"Campionati italiani paralimpici FISPES outdoor, Womens T13-20 100 meteres, Padova, Italy, 9 July",Italy,Second Place,[1]
338,2022,Track and Field,Rivana Tedde,"Campionati italiani paralimpici FISPES outdoor, Womens T13-20 100 meteres, Padova, Italy, 9 July",Italy,Third Place,[1]
339,2022,Track and Field,Ambra Sabatini,"Campionati italiani paralimpici FISPES outdoor, Womens T13-20-63-64 200 meters, Padova, Italy, 9 July",Italy,First Place,[1]
340,2022,Track and Field,Agnese Sportono,"Campionati italiani paralimpici FISPES outdoor, Womens T13-20-63-64 200 meters, Padova, Italy, 9 July",Italy,Second Place,[1]
341,2022,Track and Field,Marta Bidoia,"Campionati italiani paralimpici FISPES outdoor, Womens T13-20-63-64 200 meters, Padova, Italy, 9 July",Italy,Third Place,[1]
342,2022,Track and Field,Marta Bidoia,"Campionati italiani paralimpici FISPES outdoor, Womens T13-13-20-35 400 meters, Padova, Italy, 9 July",Italy,First Place,[1]
343,2022,Track and Field,Giorgia Fascetta,"Campionati italiani paralimpici FISPES outdoor, Womens T13-13-20-35 400 meters, Padova, Italy, 9 July",Italy,Second Place,[1]
344,2022,Track and Field,Alice Peltz,"Campionati italiani paralimpici FISPES outdoor, Womens T13-13-20-35 400 meters, Padova, Italy, 9 July",Italy,Third Place,[1]
345,2022,Track and Field,Antonella Inga,"Campionati Italiani paralimpici FISPES di società, Womens T12-13 100 meters, Brescia, Italy, 1 October",Italy,First Place,[1]
346,2022,Track and Field,Camilla Pezzotta,"Campionati Italiani paralimpici FISPES di società, Womens T12-13 100 meters, Brescia, Italy, 1 October",Italy,Second Place,[1]
347,2022,Track and Field,Benedetta Belotti,"Campionati Italiani paralimpici FISPES di società, Womens T12-13 100 meters, Brescia, Italy, 1 October",Italy,Third Place,[1]
348,2022,Track and Field,Anna Zogno,"Campionati Italiani paralimpici FISPES di società, Womens T12-13 200 meters, Brescia, Italy, 1 October",Italy,First Place,[1]
349,2022,Track and Field,Sara Cocciu,"Campionati Italiani paralimpici FISPES di società, Womens T12-13 200 meters, Brescia, Italy, 1 October",Italy,Second Place,[1]
350,2022,Track and Field,Chiara Verzolla,"Campionati Italiani paralimpici FISPES di società, Womens T12-13 200 meters, Brescia, Italy, 1 October",Italy,Third Place,[1]
351,2022,Track and Field,Margherita Paciolla,"Campionati Italiani paralimpici FISPES di società, Womens T12-13 400 meters, Brescia, Italy, 1 October",Italy,First Place,[1]
